"navn","addresse","Org_nr","Sektor","godkjenning","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","DVH_regioner_2019","Kommunenavn_2020"
"Flugund Hans Edvin","Sørbyvn. 254 , 3083 HOLMESTRAND","Org. nr. 889 137 452","Økologisk landbruksproduksjon","Gyldig fra 18.05.2020 til 30.12.2021",59.4893458,10.3148252,0,"Holmestrand Municipality","Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Flyin Fjellgard DA v/ Peter Torp","Oldrumvegen 251 , 2960 RØN","Org. nr. 982 744 342","Økologisk landbruksproduksjon","Gyldig fra 18.11.2020 til 30.12.2021",61.0537186,9.0604523,"Røn","Vestre Slidre","Innlandet","none","Vestre Østland DVH","VESTRE SLIDRE"
"Folkedal Lars Ingvald","Folkedalsvegen 243 , 5736 GRANVIN","Org. nr. 992 414 782","Foredling, import og omsetning","Gyldig fra 16.11.2020 til 30.12.2021",60.5020449,6.6291397,"Granvin","Voss","Vestland","none","Vest Norge DVH","VOSS"
"Follaug Per Gunnar","Løbergvegen 55 , 3719 SKIEN","Org. nr. 977 359 376","Økologisk landbruksproduksjon","Gyldig fra 06.09.2020 til 30.12.2021",59.2053506,9.6375798,"Skien","Skien","Vestfold og Telemark","none","Vestre Østland DVH","SKIEN"
"Fondberg AS","Henrik Ibsens gate 60 C , 0255 OSLO","Org. nr. 985 467 544","Foredling, import og omsetning","Gyldig fra 04.02.2020 til 30.12.2021",59.9149882,10.7204459,"Oslo","Oslo","Oslo","Frogner","Oslo DVH","OSLO"
"Fonte Verdi AS","Storvikvn. 14 , 6412 MOLDE","Org. nr. 919 227 710","Foredling, import og omsetning","Gyldig fra 17.02.2020 til 30.12.2021",62.7358586,7.1282338,"Molde","Molde","Møre og Romsdal","none","Midt Norge DVH","MOLDE"
"Foodbroker AS","Holterkollveien 3 , 1448 DRØBAK","Org. nr. 990 335 591","Foredling, import og omsetning","Gyldig fra 08.06.2020 til 30.12.2021",59.669535,10.6613259,"Drøbak","Frogn","Viken","none","VIKEN","FROGN"
"FoodMan AS","Myrfaret 6 , 1930 AURSKOG","Org. nr. 965 160 922","Foredling, import og omsetning","Gyldig fra 08.07.2020 til 30.12.2021",59.925387,11.4771308,"Aurskog","Aurskog-Høland","Viken","none","VIKEN","AURSKOG-HØLAND"
"Foodtrade AS","Grenseveien 91 , 0663 OSLO","Org. nr. 924 695 056","Foredling, import og omsetning","Gyldig fra 18.11.2020 til 30.12.2021",59.91657,10.79853,"Oslo","Oslo","Oslo","Gamle Oslo","Oslo DVH","OSLO"
"Forberg Magne","Dalen 96, Lødn gard , 5745 AURLAND","Org. nr. 980 389 979","Økologisk landbruksproduksjon","Gyldig fra 12.12.2020 til 30.12.2021",60.887443,7.2429985,"Aurland","Aurland","Vestland","none","Vest Norge DVH","AURLAND"
"Førde Eirik","Fjordavegen 1299 , 5776 NÅ","Org. nr. 969 473 364","Økologisk landbruksproduksjon","Gyldig fra 08.06.2020 til 30.12.2021",60.1995004,6.5628195,"Nå","Ullensvang","Vestland","none","Vest Norge DVH","ULLENSVANG"
"Formo Anders","Gudbrandsdalsvegen 2048 , 2672 SEL","Org. nr. 979 483 821","Økologisk landbruksproduksjon","Gyldig fra 05.08.2020 til 30.12.2021",61.8341846,9.4998361,"Sel","Sel","Innlandet","none","Vestre Østland DVH","SEL"
"Forodden Tommy","Budalsøyen , 7298 BUDALEN","Org. nr. 920 538 045","Økologisk landbruksproduksjon","Gyldig fra 30.11.2020 til 30.12.2021",62.88439,10.4816389,0,0,"none","none","#N/A","#N/A"
"Forpakterlaget Fokhol Gård","Fokholgutua 216 , 2335 STANGE","Org. nr. 969 171 732","Foredling, import og omsetning","Gyldig fra 02.12.2020 til 30.12.2021",60.7225125,11.1536694,"Stange","Stange","Innlandet","none","Vestre Østland DVH","STANGE"
"Fosen Folkehøgskole","Folkehøgskoleveien 1 , 7100 RISSA","Org. nr. 957 976 956","Økologisk landbruksproduksjon","Gyldig fra 02.12.2020 til 30.12.2021",63.5882006,9.9671782,"Rissa","Indre Fosen","Trøndelag","none","Midt Norge DVH","INDRE FOSEN"
"Foss Almqvist Eirik","Hyttabakken 45, Søndre Hytten Gård , 2740 ROA","Org. nr. 914 416 140","Økologisk landbruksproduksjon","Gyldig fra 12.10.2020 til 30.12.2021",60.2972914,10.6582084,"Roa","Lunner","Viken","none","VIKEN","LUNNER"
"Foss Gunnar Peder Magnus","Foss Søndre, Eidsvegen 517 , 1925 BLAKER","Org. nr. 912 828 530","Økologisk landbruksproduksjon","Gyldig fra 16.11.2020 til 30.12.2021",60.008352,11.317241,0,"Lillestrøm","Viken","none","VIKEN","#N/A"
"Foss Ole","Rømskogvn. 105 , 1870 ØRJE","Org. nr. 969 315 882","Økologisk landbruksproduksjon","Gyldig fra 30.06.2020 til 30.12.2021",59.6154721,11.6166501,"Ørje","Marker","Viken","none","VIKEN","MARKER"
"Fossaas Preben","Kopstadveien 207 , 3178 VÅLE","Org. nr. 869 922 862","Foredling, import og omsetning","Gyldig fra 18.02.2020 til 30.12.2021",59.4212042,10.3304251,"Våle","Tønsberg","Vestfold og Telemark","none","Vestre Østland DVH","TØNSBERG"
"Fossen Helge L.","Abusdalsvegen 1043, Kalland gård , 4737 HORNNES","Org. nr. 969 621 703","Økologisk landbruksproduksjon","Gyldig fra 17.11.2020 til 30.12.2021",58.4733136,7.6322928,"Hornnes","Evje og Hornnes","Agder","none","Vest Norge DVH","EVJE OG HORNNES"
"Fosser Svanhild","Torudholtveien 70 , 1892 DEGERNES","Org. nr. 923 114 475","Foredling, import og omsetning","Gyldig fra 11.02.2020 til 30.12.2021",59.2796632,11.4728976,"Degernes","Rakkestad","Viken","none","VIKEN","RAKKESTAD"
"Fosslien Henrik","Postboks 177 , 3071 SANDE I VESTFOLD","Org. nr. 914 975 409","Økologisk landbruksproduksjon","Gyldig fra 18.01.2021 til 30.12.2021",59.5867918,10.2080222,0,0,"Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Fosslien Jørgen","Postboks 177 , 3071 SANDE I VESTFOLD","Org. nr. 915 001 343","Økologisk landbruksproduksjon","Gyldig fra 01.12.2020 til 30.12.2021",59.5867918,10.2080222,0,0,"Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Fossum Simen","Syverstadvn 21 A , 1394 NESBRU","Org. nr. 969 099 470","Foredling, import og omsetning","Gyldig fra 01.12.2020 til 30.12.2021",59.8486145,10.4832857,"Nesbru","Asker","Viken","none","VIKEN","ASKER"
"Fossumstuen Grøterud Niklas","Snertingsdalsvn. 1982 , 2838 SNERTINGDAL","Org. nr. 916 468 954","Økologisk landbruksproduksjon","Gyldig fra 03.11.2020 til 30.12.2021",60.8821434,10.4163171,0,0,"none","none","#N/A","#N/A"
"Føyens Gårdsprodukter","Austmarkavegen 774 , 2220 ÅBOGEN","Org. nr. 914 046 556","Foredling, import og omsetning","Gyldig fra 15.06.2020 til 30.12.2021",60.109374,12.128729,"Åbogen","Eidskog","Innlandet","none","Vestre Østland DVH","EIDSKOG"
"Fredrik Fredriksen Nesset Hønseri","Smedgt. 71 , 1850 MYSEN","Org. nr. 983 197 035","Økologisk landbruksproduksjon","Gyldig fra 17.03.2020 til 30.12.2021",59.5511039,11.3562391,"Mysen","Indre Østfold","Viken","none","VIKEN","#N/A"
"Fredriksen Randi Hjelset","Gardvegen 30 , 6450 HJELSET","Org. nr. 969 841 886","Økologisk landbruksproduksjon","Gyldig fra 18.03.2020 til 30.12.2021",62.7806277,7.4894775,"Hjelset","Molde","Møre og Romsdal","none","Midt Norge DVH","MOLDE"
"Fredriksten Festningshotell AS","Generalvn. 25 , 1769 HALDEN","Org. nr. 993 582 964","Servering av økologisk mat og drikke","Gyldig fra 07.10.2020 til 30.12.2021",59.1329964,11.387457,0,0,"none","none","#N/A","#N/A"
"Freshco AS","Ole Deviks vei 16 A , 0666 OSLO","Org. nr. 914 153 298","Foredling, import og omsetning","Gyldig fra 07.10.2020 til 30.12.2021",59.9159452,10.8275306,"Oslo","Oslo","Oslo","Gamle Oslo","Oslo DVH","OSLO"
"Fretheim Hotel","Postboks 42 , 5743 FLÅM","Org. nr. 982 897 424","Servering av økologisk mat og drikke","Gyldig fra 10.12.2020 til 30.12.2021",60.861996,7.112397,0,"Aurland","Vestland","none","Vest Norge DVH","AURLAND"
"Fretheim Torstein Neil Armstrong","Fretheimshaugane 61 , 5743 FLÅM","Org. nr. 999 266 495","Økologisk landbruksproduksjon","Gyldig fra 07.10.2020 til 30.12.2021",60.8580835,7.1171179,"Flåm","Aurland","Vestland","none","Vest Norge DVH","AURLAND"
"Fretland Jan Olav","Haugshagen 73 , 6887 LÆRDAL","Org. nr. 969 835 797","Økologisk landbruksproduksjon","Gyldig fra 18.03.2020 til 30.12.2021",61.0813513,7.5178034,"Lærdal","Lærdal","Vestland","none","Vest Norge DVH","LÆRDAL"
"Frette Jon Egil","Skreveien 378 , 5541 KOLNES","Org. nr. 971 508 930","Økologisk landbruksproduksjon","Gyldig fra 12.08.2020 til 30.12.2021",59.3962683,5.3678121,0,0,"none","none","#N/A","#N/A"
"Frette Lars Ove","Skrevegen 378 , 5541 KOLNES","Org. nr. 995 905 701","Økologisk landbruksproduksjon","Gyldig fra 11.10.2020 til 30.12.2021",59.390985,5.3595123,0,0,"Rogaland","none","Vest Norge DVH","#N/A"
"Frette Mulltisau","Skrevegen 378 , 5541 KOLNES","Org. nr. 919 925 817","Økologisk landbruksproduksjon","Gyldig fra 25.11.2020 til 30.12.2021",59.390985,5.3595123,0,0,"Rogaland","none","Vest Norge DVH","#N/A"
"Friele Foods AS","Nygårdsviken 1 , 5165 LAKSEVÅG","Org. nr. 982 574 730","Foredling, import og omsetning","Gyldig fra 05.10.2020 til 30.12.2021",60.392914,5.2715332,"Laksevåg","Bergen","Vestland","Laksevåg","Vest Norge DVH","BERGEN"
"Frihetsli Torgeir","Dividalsveien 3093 , 9334 ØVERBYGD","Org. nr. 990 400 482","Økologisk landbruksproduksjon","Gyldig fra 20.04.2020 til 30.12.2021",68.7795482,19.7103056,"Øverbygd","Målselv","Troms og Finnmark","none","Nord Norge DVH","MÅLSELV"
"Friisvold Johan I.","Nordsidevegen 3034 , 6360 ÅFARNES","Org. nr. 969 212 218","Økologisk landbruksproduksjon","Gyldig fra 26.10.2020 til 30.12.2021",62.643556,7.5129664,"Åfarnes","Rauma","Møre og Romsdal","none","Midt Norge DVH","RAUMA"
"Frilstad Tora og Bernt","Hombornesvn 70 , 8920 SØMNA","Org. nr. 918 359 540","Økologisk landbruksproduksjon","Gyldig fra 18.10.2020 til 30.12.2021",65.3083587,11.9918996,0,"Sømna","Nordland","none","Nord Norge DVH","SØMNA"
"Frilund gård v/ Ingunn Grepperud","Burholvn. 10 , 1940 BJØRKELANGEN","Org. nr. 969 159 775","Foredling, import og omsetning","Gyldig fra 06.12.2020 til 30.12.2021",59.883066,11.5649622,"Bjørkelangen","Aurskog-Høland","Viken","none","VIKEN","AURSKOG-HØLAND"
"Frilund Grønt","Burholveien 10 , 1940 BJØRKELANGEN","Org. nr. 920 233 457","Økologisk landbruksproduksjon","Gyldig fra 22.11.2020 til 30.12.2021",59.8765323,11.5499382,"Bjørkelangen","Aurskog-Høland","Viken","none","VIKEN","AURSKOG-HØLAND"
"Frodahl Roy Gjermund","Øyåsvegen 71 , 2848 SKREIA","Org. nr. 922 175 934","Økologisk landbruksproduksjon","Gyldig fra 16.02.2020 til 30.12.2021",60.6336386,10.8907734,"Skreia","Østre Toten","Innlandet","none","Vestre Østland DVH","ØSTRE TOTEN"
"Frøisland Dag Helge","Kongsvegen 75 , 2614 LILLEHAMMER","Org. nr. 969 175 193","Økologisk landbruksproduksjon","Gyldig fra 10.05.2020 til 30.12.2021",61.0620986,10.4620388,"Lillehammer","Lillehammer","Innlandet","none","Vestre Østland DVH","LILLEHAMMER"
"Frøisland Nils Arve","Damplassen 15 , 0852 OSLO","Org. nr. 870 042 612","Økologisk landbruksproduksjon","Gyldig fra 10.05.2020 til 30.12.2021",59.9433055,10.7346416,"Oslo","Oslo","Oslo","none","Oslo DVH","OSLO"
"Froknestad Øyvind","Mosjøvegen 53 , 2340 LØTEN","Org. nr. 921 024 266","Økologisk landbruksproduksjon","Gyldig fra 08.11.2020 til 30.12.2021",60.8270375,11.3933444,"Løten","Løten","Innlandet","none","Vestre Østland DVH","LØTEN"
"Frorud Anita og Øystein","Belsbyveien 178 , 1730 ISE","Org. nr. 969 240 602","Økologisk landbruksproduksjon","Gyldig fra 17.11.2020 til 30.12.2021",59.3231618,11.2106687,"Ise","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Frostrud Vidar","Eikebergveien 89 , 1860 TRØGSTAD","Org. nr. 969 239 973","Økologisk landbruksproduksjon","Gyldig fra 04.02.2020 til 30.12.2021",59.6257761,11.2459399,"Trøgstad","Indre Østfold","Viken","none","VIKEN","TRØGSTAD"
"Frøyen Olav Jarl","Gamlevegen 5 , 6729 KALVÅG","Org. nr. 969 202 263","Økologisk landbruksproduksjon","Gyldig fra 04.07.2020 til 30.12.2021",61.7748389,4.8951043,"Kalvåg","Bremanger","Vestland","none","Vest Norge DVH","BREMANGER"
"Frøygard - Garden mellom bre og fjell Guillaume Malis","Befringsvegen 103 , 6843 SKEI I JØLSTER","Org. nr. 922 720 215","Økologisk landbruksproduksjon","Gyldig fra 10.12.2020 til 30.12.2021",61.6111626,6.6372552,"Skei i Jølster","Sunnfjord","Vestland","none","Vest Norge DVH","#N/A"
"Frøysnes Øystein","Setesdalsvegen 2347 , 4745 BYGLAND","Org. nr. 970 933 964","Økologisk landbruksproduksjon","Gyldig fra 14.04.2020 til 30.12.2021",58.9146868,7.7135442,"Bygland","Bygland","Agder","none","Vest Norge DVH","BYGLAND"
"Fru Aarviks vesle bakeri og kjøkkenhage","Kleppsvegen 36 , 5647 BALDERSHEIM","Org. nr. 923 484 973","Foredling, import og omsetning","Gyldig fra 18.02.2020 til 30.12.2021",60.1466216,5.7497103,"Baldersheim","Bjørnafjorden","Vestland","none","Vest Norge DVH","#N/A"
"Frukthagen Norge AS","Fougstadsgt 47 , 0173 OSLO","Org. nr. 999 603 971","Foredling, import og omsetning","Gyldig fra 16.12.2020 til 30.12.2021",59.9295593,10.7480541,"Oslo","Oslo","Oslo","Sankt Hanshaugen","Oslo DVH","OSLO"
"Frukthaven AS","Regnbueveien 10 , 1405 LANGHUS","Org. nr. 989 770 012","Foredling, import og omsetning","Gyldig fra 07.12.2020 til 30.12.2021",59.7679723,10.8430442,"Langhus","Nordre Follo","Viken","none","VIKEN","#N/A"
"Frydenlund skoghagebruk","Rimstadbrekka 12 , 6630 TINGVOLL","Org. nr. 913 634 985","Økologisk landbruksproduksjon","Gyldig fra 28.10.2020 til 30.12.2021",62.900131,8.1977712,"Tingvoll","Tingvoll","Møre og Romsdal","none","Midt Norge DVH","TINGVOLL"
"Fuglen Coffee Roasters Oslo AS","St. Halvards gate 33 , 0192 OSLO","Org. nr. 913 571 398","Foredling, import og omsetning","Gyldig fra 21.09.2020 til 30.12.2021",59.9059459,10.7750756,"Oslo","Oslo","Oslo","Gamle Oslo","Oslo DVH","OSLO"
"Fuglerud Hans Erik","Vestsideveien 88 , 3404 LIER","Org. nr. 961 688 477","Økologisk landbruksproduksjon","Gyldig fra 31.08.2020 til 30.12.2021",59.8088479,10.2275533,"Lier","Lier","Viken","none","VIKEN","LIER"
"Fuglesteg Rune","Mørkridsvegen 75 , 6876 SKJOLDEN","Org. nr. 995 736 691","Økologisk landbruksproduksjon","Gyldig fra 24.05.2020 til 30.12.2021",61.4905159,7.6005767,0,0,"none","none","#N/A","#N/A"
"Fuglestrand Olav","Kandalsvegen 1030 , 6823 SANDANE","Org. nr. 969 166 275","Økologisk landbruksproduksjon","Gyldig fra 25.02.2020 til 30.12.2021",61.6963869,6.3730109,"Sandane","Gloppen","Vestland","none","Vest Norge DVH","GLOPPEN"
"Fuglu Bent Ingar","Gamle Kongeveg Nord 42 , 7609 LEVANGER","Org. nr. 977 367 204","Økologisk landbruksproduksjon","Gyldig fra 25.02.2020 til 30.12.2021",63.7446282,11.3053952,"Levanger","Levanger","Trøndelag","none","Midt Norge DVH","LEVANGER"
"Fuglu Per Ola","Fuglerudvegen 95 , 2160 VORMSUND","Org. nr. 970 275 029","Økologisk landbruksproduksjon","Gyldig fra 23.11.2020 til 30.12.2021",60.182957,11.4294774,"Vormsund","Nes","Viken","none","VIKEN","#N/A"
"Fundingsrud Øystein","Rånåsvn. 58 , 1880 EIDSBERG","Org. nr. 998 212 227","Økologisk landbruksproduksjon","Gyldig fra 01.09.2020 til 30.12.2021",59.4999869,11.3213585,"Eidsberg","Indre Østfold","Viken","none","VIKEN","EIDSBERG"
"Funkners Malerservice","Rakkestadveien 1372 , 1880 EIDSBERG","Org. nr. 988 150 827","Økologisk landbruksproduksjon","Gyldig fra 29.03.2020 til 30.12.2021",59.4800762,11.2602855,"Eidsberg","Indre Østfold","Viken","none","VIKEN","EIDSBERG"
"Funksjonell Mat AS","Gamle Leirdalsvei 12 , 1081 OSLO","Org. nr. 991 541 624","Foredling, import og omsetning","Gyldig fra 05.10.2020 til 30.12.2021",59.9373415,10.8723314,"Oslo","Oslo","Oslo","Bydel Alna","Oslo DVH","OSLO"
"Funky Fresh Foods AS","Universitetsgata 8 , 0164 OSLO","Org. nr. 813 802 112","Foredling, import og omsetning","Gyldig fra 18.01.2021 til 30.12.2022",59.9169702,10.7391587,"Oslo","Oslo","Oslo","Sentrum","Oslo DVH","OSLO"
"Funky Frozen Yogurt AS (hovedkontor)","Økrisletta 5 , 1340 SKUI","Org. nr. 899 654 862","Servering av økologisk mat og drikke","Gyldig fra 25.10.2020 til 30.12.2021",59.9221279,10.4619039,"Skui","Bærum","Viken","none","VIKEN","BÆRUM"
"Furuseth Ole Gudmund","Brynhildstuveien 17 , 2450 RENA","Org. nr. 981 403 878","Økologisk landbruksproduksjon","Gyldig fra 17.02.2020 til 30.12.2021",61.2813013,11.2923316,"Rena","Stor-Elvdal","Innlandet","none","Vestre Østland DVH","STOR-ELVDAL"
"Fystro John-Tore","Oldrumvegen 133 , 2960 RØN","Org. nr. 970 890 076","Økologisk landbruksproduksjon","Gyldig fra 18.02.2020 til 30.12.2021",61.0449625,9.073802,"Røn","Vestre Slidre","Innlandet","none","Vestre Østland DVH","VESTRE SLIDRE"
"Gaarder Tor Andreas","Helgumsdalen 7 , 2750 GRAN","Org. nr. 969 174 456","Foredling, import og omsetning","Gyldig fra 07.09.2020 til 30.12.2021",60.3644317,10.5266498,"Gran","Gran","Innlandet","none","Vestre Østland DVH","GRAN"
"Gaarder Trond","Lensbygdaveien 210 , 2850 LENA","Org. nr. 869 746 002","Økologisk landbruksproduksjon","Gyldig fra 23.08.2020 til 30.12.2021",60.6543507,10.8194274,0,"Østre Toten","Innlandet","none","Vestre Østland DVH","ØSTRE TOTEN"
"Gaasøy Pål","Bygda 1069 , 6218 HELLESYLT","Org. nr. 916 330 219","Foredling, import og omsetning","Gyldig fra 16.09.2020 til 30.12.2021",62.086076,6.8686937,0,0,"none","none","#N/A","#N/A"
"Gabrielsen Herdis og Geir","Sørliveien 699 , 9402 HARSTAD","Org. nr. 969 267 349","Økologisk landbruksproduksjon","Gyldig fra 01.07.2020 til 30.12.2021",68.8606798,16.3620824,0,"Harstad","Troms og Finnmark","none","Nord Norge DVH","HARSTAD"
"Gaffke Hans","Braathugrenda 100 , 1570 DILLING","Org. nr. 981 394 119","Økologisk landbruksproduksjon","Gyldig fra 19.11.2020 til 30.12.2021",59.3504627,10.700645,"Dilling","Moss","Viken","none","VIKEN","MOSS"
"Gammelsæter Frode","Drammensvegen 823, Skarset , 6433 HUSTAD","Org. nr. 983 387 950","Økologisk landbruksproduksjon","Gyldig fra 05.02.2020 til 30.12.2021",62.9253502,7.0976788,"Hustad","Hustadvika","Møre og Romsdal","none","Midt Norge DVH","#N/A"
"Gammelsrød Stig","Kurefjordveien 15 , 1580 RYGGE","Org. nr. 979 569 823","Økologisk landbruksproduksjon","Gyldig fra 05.02.2020 til 30.12.2021",59.3862877,10.7238634,"Rygge","Moss","Viken","none","VIKEN","MOSS"
"Gamper Urs","Rosvegen 5, Ruud Gård RO , 2653 VESTRE GAUSDAL","Org. nr. 988 706 876","Foredling, import og omsetning","Gyldig fra 16.11.2020 til 30.12.2021",61.2579116,10.0397207,"Vestre Gausdal","Gausdal","Innlandet","none","Vestre Østland DVH","GAUSDAL"
"Gardåsskogen - Halvor G. Garås","Gårdåsvn. 83, Garås mellom , 3623 LAMPELAND","Org. nr. 970 570 640","Foredling, import og omsetning","Gyldig fra 16.12.2020 til 30.12.2021",59.827794,9.5497942,0,0,"Viken","none","#N/A","#N/A"
"Gården Arve","Sørburøyveien 23 , 7286 SØRBURØY","Org. nr. 969 680 149","Økologisk landbruksproduksjon","Gyldig fra 24.11.2020 til 30.12.2021",63.9785498,9.0836063,"Sørburøy","Frøya","Trøndelag","none","Midt Norge DVH","FRØYA"
"Gården på Svartskog Aukrust","Roald Amundsensvei 115 , 1420 SVARTSKOG","Org. nr. 918 313 494","Foredling, import og omsetning","Gyldig fra 07.07.2020 til 30.12.2021",59.777056,10.7512891,"Svartskog","Nordre Follo","Viken","none","VIKEN","#N/A"
"Gardsbrenneriet AS","Øvre Nordstranda 96 , 6823 SANDANE","Org. nr. 997 944 747","Foredling, import og omsetning","Gyldig fra 06.07.2020 til 30.12.2021",61.7906472,6.1776949,"Sandane","Gloppen","Vestland","none","Vest Norge DVH","GLOPPEN"
"Gårdsbutikken under Norefjell BA","Gåranveien / Gåranplassen , 3536 NORESUND","Org. nr. 892 544 972","Foredling, import og omsetning","Gyldig fra 08.06.2020 til 30.12.2021",60.1803077,9.6230989,0,0,"none","none","#N/A","#N/A"
"Gardshaug Magne","Vestsidevegen 602 , 2960 RØN","Org. nr. 976 941 128","Økologisk landbruksproduksjon","Gyldig fra 15.07.2020 til 30.12.2021",61.0360095,9.0257879,"Røn","Vestre Slidre","Innlandet","none","Vestre Østland DVH","VESTRE SLIDRE"
"Garlie Katrine","Grandevegen 33 , 2822 BYBRUA","Org. nr. -","Økologisk landbruksproduksjon","Gyldig fra 03.11.2020 til 30.12.2021",60.8052058,10.5857755,"Bybrua","Gjøvik","Innlandet","none","Vestre Østland DVH","GJØVIK"
"Garseg Atle","Katralveien 191 , 1814 ASKIM","Org. nr. 912 615 332","Økologisk landbruksproduksjon","Gyldig fra 08.06.2020 til 30.12.2021",59.5627233,11.1954975,"Askim","Indre Østfold","Viken","none","VIKEN","ASKIM"
"Garseg Rune","Sentvedtveien 306 , 1866 BÅSTAD","Org. nr. 970 026 878","Økologisk landbruksproduksjon","Gyldig fra 18.02.2020 til 30.12.2021",59.68723,11.3264487,"Båstad","Indre Østfold","Viken","none","VIKEN","#N/A"
"Gartnerhallen SA","Postboks 111, Alnabru , 1081 OSLO","Org. nr. 945 958 405","Foredling, import og omsetning","Gyldig fra 18.03.2020 til 30.12.2021",59.9314326,10.8464748,0,0,"Oslo","none","OSLO","OSLO"
"Gåserød Kjell Øyvind","Rokkevn 669 , 1746 SKJEBERG","Org. nr. 969 170 213","Økologisk landbruksproduksjon","Gyldig fra 29.01.2020 til 30.12.2021",59.2163948,11.2716716,"Skjeberg","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Gaupset AS","Industrivn. 11 B , 6517 KRISTIANSUND N","Org. nr. 936 187 644","Foredling, import og omsetning","Gyldig fra 12.08.2020 til 30.12.2021",63.1109344,7.7864277,"Kristiansund","Kristiansund","Møre og Romsdal","none","Midt Norge DVH","KRISTIANSUND"
"Gaustablikk Høyfjellshotell AS","Kvitåvatnvegen 372 , 3660 RJUKAN","Org. nr. 891 680 422","Servering av økologisk mat og drikke","Gyldig fra 11.03.2020 til 30.12.2021",59.879915,8.734329,"Rjukan","Tinn","Vestfold og Telemark","none","Vestre Østland DVH","TINN"
"Gaustad Ståle","Hølondvegen 2209, Gaustad Søndre , 7212 KORSVEGEN","Org. nr. 998 544 815","Økologisk landbruksproduksjon","Gyldig fra 11.03.2020 til 30.12.2021",63.1483416,10.0977399,"Korsvegen","Melhus","Trøndelag","none","Midt Norge DVH","MELHUS"
"Geia Food AS avd. Norge","Ole Deviks vei 6A , 0666 OSLO","Org. nr. 915 819 591","Foredling, import og omsetning","Gyldig fra 28.09.2020 til 30.12.2021",59.9135087,10.8257666,"Oslo","Oslo","Oslo","Gamle Oslo","Oslo DVH","OSLO"
"Germann Vervik Eftf AS","Nikkelvn. 3 , 4313 SANDNES","Org. nr. 965 776 575","Foredling, import og omsetning","Gyldig fra 27.01.2020 til 30.12.2021",58.8778417,5.7092397,0,"Sandnes","Rogaland","none","Vest Norge DVH","SANDNES"
"Gifstad Kristen","Vestsideveien 371 , 3405 LIER","Org. nr. 888 132 252","Økologisk landbruksproduksjon","Gyldig fra 05.05.2020 til 30.12.2021",59.8665146,10.2231086,"Lier","Lier","Viken","none","VIKEN","LIER"
"Gilberg Arnstein","Plassen , 7298 BUDALEN","Org. nr. 992 107 200","Økologisk landbruksproduksjon","Gyldig fra 10.08.2020 til 30.12.2021",62.88439,10.4816389,0,"Midtre Gauldal Municipality","Trøndelag","none","Midt Norge DVH","#N/A"
"Gilje Jones","Åmland 31, Hagen , 4865 ÅMLI","Org. nr. 921 213 646","Økologisk landbruksproduksjon","Gyldig fra 17.11.2020 til 30.12.2021",58.868809,8.3254389,"Åmli","Åmli","Agder","none","Vest Norge DVH","ÅMLI"
"Gilje Kjell H.","Vafjellveien 1 , 4887 GRIMSTAD","Org. nr. 954 761 274","Økologisk landbruksproduksjon","Gyldig fra 14.10.2020 til 30.12.2021",58.2836368,8.5009945,"Grimstad","Grimstad","Agder","none","Vest Norge DVH","GRIMSTAD"
"Gilleshammer Johanne Thue","Humborstad , 6776 KJØLSDALEN","Org. nr. 981 939 093","Økologisk landbruksproduksjon","Gyldig fra 25.05.2020 til 30.12.2021",61.9544996,5.632705,0,0,"Vestland","none","Vest Norge DVH","#N/A"
"Gillund Nils Olve","Sandvikavegen 302 , 2312 OTTESTAD","Org. nr. 912 993 140","Foredling, import og omsetning","Gyldig fra 11.02.2020 til 30.12.2021",60.7572464,11.0983601,"Ottestad","Stange","Innlandet","none","Vestre Østland DVH","STANGE"
"Gimse Anstein","Kisevegen 886 , 2350 NES PÅ HEDMARK","Org. nr. 969 884 747","Økologisk landbruksproduksjon","Gyldig fra 22.06.2020 til 30.12.2021",60.7711942,10.8959818,"Nes På Hedmark","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Gjefsen Kristen","Jarenstranda 294, Gjefsen gård , 2750 GRAN","Org. nr. 969 745 887","Økologisk landbruksproduksjon","Gyldig fra 09.09.2020 til 30.12.2021",60.3846104,10.543782,"Gran","Gran","Innlandet","none","Vestre Østland DVH","GRAN"
"Gjelsvik Nina Sofie","Åmotsvegen 177 , 6977 BYGSTAD","Org. nr. 921 274 475","Økologiske juletrær og pyntegrønt","Gyldig fra 02.09.2020 til 30.12.2021",61.3712918,5.7385877,"Bygstad","Sunnfjord","Vestland","none","Vest Norge DVH","#N/A"
"Gjelten Jon-Erik","Strømmen 139 , 2560 ALVDAL","Org. nr. 969 248 158","Økologisk landbruksproduksjon","Gyldig fra 27.05.2020 til 30.12.2021",62.2031258,10.62555,0,0,"none","none","#N/A","#N/A"
"Gjems Elisabeth og Thomas French","Haugedalsveien 406 , 2450 RENA","Org. nr. 987 625 767","Økologisk landbruksproduksjon","Gyldig fra 14.05.2020 til 30.12.2021",61.1549156,11.42537,"Rena","Åmot","Innlandet","none","Vestre Østland DVH","ÅMOT"
